CUSTID,MONTH,YEAR,BUSINESS,NSV
10022,10,2014,CHOCOLATES,46159
10023,2,2014,CAKES,39024
10023,4,2014,ICECREAM,16171
10024,2,2014,CHOCOLATES,42828
10024,5,2014,ICECREAM,15520
10024,9,2014,CHOCOLATES,8011
10025,3,2014,CHOCOLATES,2226
10025,12,2014,ICECREAM,58045
10026,3,2014,CHOCOLATES,11966
10026,5,2014,CHOCOLATES,3369
10026,8,2014,ICECREAM,8909
10026,8,2014,CHOCOLATES,27911
10026,9,2014,ICECREAM,26518
10027,7,2014,CAKES,51019
10027,11,2014,CHOCOLATES,571
10028,6,2014,CAKES,37015
10029,4,2014,CAKES,29767
10029,5,2014,CAKES,54691
10029,11,2014,CAKES,7287
10031,1,2014,ICECREAM,9903
10031,6,2014,ICECREAM,12504
10032,7,2014,CHOCOLATES,46906
10032,12,2014,CAKES,4746
10033,5,2014,CAKES,8398
10033,8,2014,CHOCOLATES,7173
10033,11,2014,ICECREAM,3603
10034,2,2014,CHOCOLATES,1604
10034,3,2014,CHOCOLATES,15584
10034,3,2014,CHOCOLATES,1041
10034,12,2014,CHOCOLATES,59031
10035,2,2014,CHOCOLATES,8607
10035,4,2014,CAKES,1442
10035,5,2014,CHOCOLATES,4238
10035,10,2014,CAKES,47180
10035,12,2014,ICECREAM,8150
10036,2,2014,CAKES,178
10036,6,2014,CHOCOLATES,31672
10036,7,2014,CHOCOLATES,28743
10036,7,2014,CHOCOLATES,45469
10036,10,2014,CHOCOLATES,8214
10037,2,2014,CAKES,57301
10037,5,2014,ICECREAM,37129
10037,7,2014,CHOCOLATES,6496
10037,7,2014,CHOCOLATES,5837
10037,8,2014,CAKES,23151
10038,5,2014,CHOCOLATES,11030
10038,12,2014,CAKES,12334
10039,1,2014,ICECREAM,26628
10039,4,2014,CHOCOLATES,23425
10039,6,2014,CHOCOLATES,57844
10039,7,2014,CHOCOLATES,40879
10039,9,2014,CHOCOLATES,3834
10039,10,2014,CAKES,18275
10040,4,2014,ICECREAM,11490
10040,9,2014,CAKES,2665
10040,11,2014,CHOCOLATES,38890
10041,4,2014,ICECREAM,27236
10041,9,2014,CHOCOLATES,44439
10041,11,2014,CAKES,41898
10042,2,2014,CAKES,14934
10043,1,2014,CAKES,37271
10043,9,2014,CHOCOLATES,3309
10044,1,2014,CHOCOLATES,7109
10044,3,2014,CAKES,5390
10044,7,2014,CAKES,30957
10044,10,2014,CHOCOLATES,19675
10045,10,2014,ICECREAM,9785
10046,10,2014,ICECREAM,26455
10046,10,2014,CAKES,28429
10047,2,2014,CAKES,41135
10048,5,2014,CAKES,59418
10048,8,2014,CAKES,5467
10049,5,2014,CHOCOLATES,173
10049,8,2014,CAKES,10404
10050,5,2014,ICECREAM,41901
10050,7,2014,CAKES,37953
10050,10,2014,ICECREAM,30974
10050,11,2014,CAKES,44010
10051,1,2014,CAKES,7643
10051,1,2014,CHOCOLATES,47269
10051,6,2014,CAKES,6119
10052,8,2014,CHOCOLATES,2964
10053,6,2014,ICECREAM,61634
10053,12,2014,CAKES,11586
10054,3,2014,CAKES,4665
10054,7,2014,CAKES,35261
10054,11,2014,CAKES,6840
10055,1,2014,CHOCOLATES,2985
10055,8,2014,ICECREAM,16719
10055,12,2014,CHOCOLATES,12196
10056,2,2014,CHOCOLATES,32686
10056,10,2014,CAKES,5633
10057,2,2014,CHOCOLATES,18089
10057,8,2014,CHOCOLATES,7478
10057,10,2014,CHOCOLATES,9736
10058,1,2014,CHOCOLATES,22514
10058,2,2014,CHOCOLATES,2294
10058,4,2014,CHOCOLATES,11540
10058,5,2014,ICECREAM,3001
10058,7,2014,CAKES,42837
10058,12,2014,ICECREAM,50173
10058,12,2014,CHOCOLATES,7277
10059,1,2014,CHOCOLATES,19111
10059,5,2014,CAKES,21963
10059,6,2014,ICECREAM,38945
10060,1,2014,CHOCOLATES,13642
10060,2,2014,CHOCOLATES,14976
10060,4,2014,CAKES,15472
10060,10,2014,CAKES,38310
10061,3,2014,CHOCOLATES,11089
10061,5,2014,CHOCOLATES,42325
10061,7,2014,CAKES,62733
10061,8,2014,CAKES,29320
10061,9,2014,CAKES,24066
10061,10,2014,ICECREAM,5240
10061,10,2014,CHOCOLATES,11301
10062,10,2014,CHOCOLATES,8884
10063,1,2014,CHOCOLATES,6916
10063,10,2014,CAKES,16825
10064,1,2014,CHOCOLATES,1502
10064,2,2014,ICECREAM,32762
10064,7,2014,CAKES,10905
10064,9,2014,CAKES,6450
10064,11,2014,CHOCOLATES,21900
10064,11,2014,CAKES,44365
10065,3,2014,CHOCOLATES,39607
10065,4,2014,CHOCOLATES,6996
10065,5,2014,CHOCOLATES,14871
10065,7,2014,CHOCOLATES,43627
10066,1,2014,ICECREAM,3771
10066,5,2014,CHOCOLATES,4930
10066,6,2014,CAKES,59369
10066,8,2014,CAKES,55531
10066,10,2014,ICECREAM,12483
10067,3,2014,ICECREAM,7446
10067,5,2014,ICECREAM,35051
10067,7,2014,ICECREAM,348
10069,7,2014,CAKES,52582
10069,11,2014,CAKES,10765
10070,7,2014,CAKES,4392
10071,5,2014,CHOCOLATES,1838
10071,5,2014,CAKES,1018
10071,7,2014,CHOCOLATES,33477
10071,8,2014,CAKES,21962
10072,7,2014,CHOCOLATES,15990
10072,8,2014,CHOCOLATES,17569
10072,9,2014,CHOCOLATES,19767
10072,10,2014,CAKES,8806
10072,11,2014,CHOCOLATES,467
10072,12,2014,ICECREAM,25388
10073,2,2014,ICECREAM,8727
10073,4,2014,CAKES,29335
10074,4,2014,CHOCOLATES,39691
10074,6,2014,ICECREAM,35345
10074,6,2014,CHOCOLATES,20521
10075,3,2014,CHOCOLATES,7848
10075,4,2014,CAKES,23394
10075,9,2014,CHOCOLATES,9801
10076,5,2014,CAKES,20383
10077,1,2014,CHOCOLATES,41034
10077,3,2014,CAKES,10522
10077,7,2014,CHOCOLATES,43254
10077,10,2014,CHOCOLATES,29066
10078,4,2014,CHOCOLATES,4789
10078,9,2014,CHOCOLATES,51202
10078,9,2014,CHOCOLATES,43286
10079,6,2014,CHOCOLATES,28493
10079,7,2014,CAKES,36731
10079,9,2014,CHOCOLATES,26993
10080,2,2014,CAKES,19134
10080,7,2014,CAKES,8284
10080,10,2014,CHOCOLATES,8840
10081,7,2014,CHOCOLATES,21100
10081,8,2014,ICECREAM,38367
10081,9,2014,CHOCOLATES,2346
10081,9,2014,CHOCOLATES,21594
10081,12,2014,CHOCOLATES,22884
10082,6,2014,CAKES,7458
10082,10,2014,CAKES,2262
10083,1,2014,CAKES,1783
10083,6,2014,ICECREAM,32898
10083,11,2014,CHOCOLATES,7238
10084,1,2014,CAKES,28470
10084,1,2014,CAKES,9472
10084,5,2014,ICECREAM,33613
10084,10,2014,CHOCOLATES,9530
10085,1,2014,CAKES,44320
10085,5,2014,CAKES,8138
10085,7,2014,CAKES,13654
10085,9,2014,CAKES,1593
10085,11,2014,CAKES,555
10086,2,2014,CHOCOLATES,6200
10086,9,2014,CAKES,27657
10086,11,2014,CHOCOLATES,27396
10087,8,2014,CHOCOLATES,19957
10087,12,2014,CAKES,23347
10088,1,2014,ICECREAM,41314
10088,2,2014,CAKES,14187
10088,5,2014,CAKES,4013
10088,9,2014,CHOCOLATES,27903
10089,6,2014,CHOCOLATES,27674
10089,7,2014,CHOCOLATES,3816
10090,1,2014,ICECREAM,1808
10090,2,2014,ICECREAM,29576
10090,8,2014,CHOCOLATES,2301
10091,5,2014,CAKES,803
10091,10,2014,CAKES,8548
10091,11,2014,CAKES,15941
10092,1,2014,CAKES,24919
10092,3,2014,CAKES,19747
10092,4,2014,CAKES,45335
10092,6,2014,CAKES,20253
10093,2,2014,ICECREAM,42181
10093,3,2014,CAKES,212
10093,6,2014,CAKES,3437
10093,9,2014,CAKES,7209
10094,4,2014,CAKES,12157
10094,7,2014,CAKES,20301
10094,9,2014,CHOCOLATES,15300
10094,10,2014,ICECREAM,13212
10095,8,2014,CAKES,6274
10095,12,2014,CHOCOLATES,23219
10096,7,2014,CAKES,19085
10096,8,2014,CAKES,14375
10096,10,2014,CAKES,10198
10096,10,2014,CAKES,23489
10097,7,2014,CHOCOLATES,26479
10097,8,2014,CAKES,897
10097,12,2014,CAKES,4308
10098,7,2014,ICECREAM,13136
10098,7,2014,CHOCOLATES,4622
10098,8,2014,ICECREAM,17560
10098,9,2014,CAKES,17431
10099,2,2014,CAKES,7177
10100,4,2014,ICECREAM,5849
10100,8,2014,CHOCOLATES,10696
10102,10,2014,CHOCOLATES,12810
10103,1,2014,CAKES,10602
10103,7,2014,CHOCOLATES,38005
10104,3,2014,CAKES,20999
10104,4,2014,CAKES,6031
10104,6,2014,ICECREAM,13778
10104,8,2014,CAKES,42909
10104,9,2014,CAKES,50056
10104,11,2014,ICECREAM,24991
10104,11,2014,CHOCOLATES,18088
10105,9,2014,CHOCOLATES,16198
10105,10,2014,CAKES,3839
10105,11,2014,CHOCOLATES,4980
10106,3,2014,CAKES,16846
10106,8,2014,CAKES,39048
10106,9,2014,ICECREAM,24522
10106,11,2014,CHOCOLATES,45829
10107,7,2014,CAKES,1521
10107,7,2014,CHOCOLATES,13212
10107,9,2014,CHOCOLATES,29941
10108,7,2014,CHOCOLATES,40656
10108,12,2014,ICECREAM,34168
10109,1,2014,CAKES,44151
10109,2,2014,CAKES,1281
10110,3,2014,ICECREAM,32010
10110,6,2014,ICECREAM,5418
10111,2,2014,CAKES,1418
10111,4,2014,CAKES,12486
10111,4,2014,ICECREAM,38263
10111,7,2014,CHOCOLATES,1730
10111,8,2014,CHOCOLATES,46085
10111,12,2014,CAKES,45862
10112,6,2014,CAKES,9439
10112,7,2014,CHOCOLATES,435
10112,8,2014,ICECREAM,16069
10113,3,2014,ICECREAM,17122
10113,8,2014,CHOCOLATES,21063
10113,10,2014,CHOCOLATES,26183
10113,12,2014,CHOCOLATES,11113
10115,2,2014,CHOCOLATES,8861
10115,2,2014,CAKES,5877
10115,5,2014,CHOCOLATES,24346
10115,6,2014,CAKES,8446
10115,7,2014,ICECREAM,1889
10115,11,2014,CHOCOLATES,7374
10115,12,2014,CHOCOLATES,814
10116,2,2014,ICECREAM,18080
10116,8,2014,CAKES,6968
10116,9,2014,ICECREAM,4770
10116,9,2014,CAKES,26480
10116,9,2014,CAKES,4955
10117,4,2014,CAKES,13756
10117,5,2014,ICECREAM,24953
10117,12,2014,CHOCOLATES,28259
10118,1,2014,ICECREAM,65388
10118,9,2014,CHOCOLATES,15960
10118,9,2014,CAKES,1906
10119,4,2014,CHOCOLATES,25133
10120,2,2014,ICECREAM,7828
10120,7,2014,CHOCOLATES,6486
10120,8,2014,CHOCOLATES,9011
10120,8,2014,CAKES,17897
10120,10,2014,CAKES,18466
10121,4,2014,ICECREAM,15177
10121,7,2014,CAKES,18011
10122,10,2014,CHOCOLATES,9997
10123,1,2014,ICECREAM,28566
10123,8,2014,ICECREAM,22065
10123,10,2014,CHOCOLATES,7665
10123,12,2014,CAKES,13191
10124,3,2014,CHOCOLATES,2166
10124,9,2014,ICECREAM,31725
10125,9,2014,CHOCOLATES,17876
10125,9,2014,CHOCOLATES,5119
10125,11,2014,CAKES,42825
10125,11,2014,CHOCOLATES,513
10126,6,2014,CHOCOLATES,6976
10126,8,2014,CHOCOLATES,40621
10126,10,2014,CAKES,11422
10126,12,2014,CHOCOLATES,29070
10127,5,2014,CHOCOLATES,5608
10127,5,2014,CAKES,24631
10127,7,2014,CHOCOLATES,37191
10127,12,2014,ICECREAM,42577
10127,12,2014,CAKES,4240
10128,5,2014,ICECREAM,4374
10129,1,2014,CAKES,43088
10129,4,2014,CHOCOLATES,2716
10129,9,2014,ICECREAM,4663
10129,9,2014,CHOCOLATES,12427
10129,10,2014,CAKES,40937
10129,10,2014,ICECREAM,2073
10131,2,2014,CAKES,23634
10131,7,2014,CHOCOLATES,20608
10132,1,2014,CHOCOLATES,52366
10132,10,2014,CAKES,26898
10132,10,2014,CAKES,32423
10133,8,2014,ICECREAM,1338
10134,1,2014,CHOCOLATES,37275
10134,2,2014,CHOCOLATES,27008
10134,4,2014,CHOCOLATES,14324
10134,6,2014,CHOCOLATES,6446
10135,1,2014,CHOCOLATES,34375
10135,9,2014,ICECREAM,21501
10135,10,2014,CAKES,34170
10136,4,2014,CHOCOLATES,21540
10137,2,2014,CHOCOLATES,4410
10137,7,2014,CAKES,15534
10137,10,2014,CHOCOLATES,45170
10137,10,2014,CHOCOLATES,15378
10138,4,2014,CHOCOLATES,46490
10138,10,2014,CAKES,23675
10138,12,2014,CAKES,50107
10139,1,2014,CAKES,10906
10139,7,2014,ICECREAM,33153
10140,3,2014,CAKES,41951
10140,4,2014,CHOCOLATES,500
10140,8,2014,CAKES,6388
10141,3,2014,CHOCOLATES,1251
10142,2,2014,CAKES,44197
10143,2,2014,CHOCOLATES,24821
10143,5,2014,CHOCOLATES,28063
10143,7,2014,CAKES,11563
10143,8,2014,ICECREAM,9534
10143,9,2014,CAKES,6425
10144,4,2014,CHOCOLATES,180
10144,4,2014,CAKES,30718
10144,9,2014,CHOCOLATES,22074
10144,11,2014,CAKES,2694
10145,4,2014,CAKES,8316
10145,4,2014,CHOCOLATES,21292
10146,11,2014,ICECREAM,6192
10147,3,2014,CHOCOLATES,27986
10147,10,2014,CAKES,43761
10147,12,2014,ICECREAM,3399
10148,2,2014,CHOCOLATES,329
10148,3,2014,ICECREAM,10320
10148,8,2014,ICECREAM,10479
10149,4,2014,CHOCOLATES,26725
10149,7,2014,CHOCOLATES,30899
10149,8,2014,CHOCOLATES,3685
10150,7,2014,CHOCOLATES,30301
10151,2,2014,ICECREAM,22966
10151,8,2014,CHOCOLATES,17433
10151,12,2014,CHOCOLATES,12419
10151,12,2014,CHOCOLATES,3188
10152,2,2014,CHOCOLATES,51583
10153,4,2014,CAKES,7192
10153,4,2014,CHOCOLATES,26109
10153,7,2014,ICECREAM,1745
10153,8,2014,ICECREAM,42346
10154,5,2014,CAKES,7991
10154,6,2014,ICECREAM,19492
10154,9,2014,CAKES,11279
10155,2,2014,CAKES,6022
10155,3,2014,ICECREAM,2874
10155,5,2014,CAKES,958
10155,10,2014,CHOCOLATES,17347
10156,5,2014,CAKES,24780
10157,1,2014,ICECREAM,12032
10157,10,2014,CAKES,9135
10159,10,2014,CAKES,25956
10160,5,2014,ICECREAM,1480
10160,10,2014,CHOCOLATES,1458
10161,5,2014,ICECREAM,125
10162,1,2014,CHOCOLATES,4502
10162,4,2014,CAKES,15499
10162,11,2014,CAKES,1817
10162,12,2014,CAKES,12290
10163,3,2014,CAKES,38488
10163,7,2014,CHOCOLATES,5296
10163,10,2014,CHOCOLATES,16055
10163,10,2014,CHOCOLATES,7829
10164,2,2014,CAKES,17126
10164,9,2014,CAKES,36207
10164,12,2014,CAKES,27281
10165,2,2014,CAKES,8216
10165,5,2014,CHOCOLATES,42310
10166,3,2014,CAKES,7947
10166,11,2014,CAKES,21425
10167,1,2014,CAKES,5296
10167,11,2014,CHOCOLATES,16815
10168,4,2014,ICECREAM,31242
10168,4,2014,CHOCOLATES,26379
10168,9,2014,CHOCOLATES,32093
10168,10,2014,CAKES,8306
10169,3,2014,ICECREAM,16706
10170,8,2014,CHOCOLATES,515
10170,11,2014,CAKES,28107
10171,2,2014,ICECREAM,5527
10171,3,2014,CHOCOLATES,18263
10171,8,2014,ICECREAM,41430
10171,12,2014,CHOCOLATES,3681
10172,8,2014,CHOCOLATES,8930
10173,8,2014,CAKES,24775
10173,10,2014,CAKES,20317
10173,11,2014,ICECREAM,49650
10174,2,2014,CAKES,1886
10174,7,2014,CAKES,933
10174,8,2014,CAKES,51098
10175,4,2014,CAKES,9283
10175,6,2014,CHOCOLATES,343
10176,5,2014,ICECREAM,48699
10176,10,2014,CAKES,13608
10177,4,2014,ICECREAM,6113
10177,6,2014,CAKES,7046
10177,7,2014,CHOCOLATES,25549
10177,8,2014,CHOCOLATES,14992
10179,2,2014,CHOCOLATES,1775
10180,6,2014,ICECREAM,59914
10180,7,2014,ICECREAM,26887
10180,10,2014,CHOCOLATES,5617
10181,11,2014,CAKES,45172
10182,5,2014,CHOCOLATES,30852
10182,6,2014,CAKES,20462
10183,1,2014,CAKES,42592
10183,1,2014,CHOCOLATES,6107
10183,7,2014,ICECREAM,5179
10183,7,2014,CHOCOLATES,23365
10185,1,2014,CHOCOLATES,2486
10186,4,2014,CHOCOLATES,47322
10186,9,2014,CAKES,68849
10187,1,2014,CHOCOLATES,27145
10187,10,2014,CHOCOLATES,3386
10187,11,2014,CAKES,4145
10188,3,2014,CHOCOLATES,12168
10188,4,2014,CAKES,30622
10188,5,2014,CAKES,47862
10188,8,2014,CHOCOLATES,12936
10189,5,2014,ICECREAM,3996
10189,9,2014,ICECREAM,6786
10189,9,2014,CAKES,40186
10190,1,2014,CAKES,46055
10190,6,2014,ICECREAM,27348
10190,10,2014,CHOCOLATES,7548
10190,12,2014,CAKES,17651
10191,5,2014,CHOCOLATES,43363
10192,3,2014,CAKES,15097
10192,8,2014,ICECREAM,25923
10192,9,2014,CAKES,27047
10192,10,2014,CAKES,8059
10193,5,2014,CHOCOLATES,13966
10193,7,2014,CHOCOLATES,33695
10193,8,2014,ICECREAM,16725
10193,8,2014,CAKES,5735
10193,10,2014,CAKES,28722
10194,1,2014,CHOCOLATES,10216
10194,1,2014,CHOCOLATES,21257
10194,7,2014,CAKES,8785
10195,2,2014,CAKES,1706
10195,3,2014,CHOCOLATES,15546
10195,6,2014,ICECREAM,35463
10195,7,2014,CHOCOLATES,2302
10195,9,2014,CHOCOLATES,30881
10196,9,2014,CAKES,67299
10197,4,2014,CAKES,25716
10197,4,2014,CAKES,15372
10198,5,2014,CAKES,1539
10198,6,2014,ICECREAM,2050
10198,8,2014,CAKES,9197
10198,10,2014,ICECREAM,17152
10199,12,2014,ICECREAM,22433
10199,12,2014,CAKES,5370
10200,1,2014,ICECREAM,9032
10200,3,2014,ICECREAM,29099
10201,1,2014,CAKES,8414
10201,4,2014,ICECREAM,40831
10202,1,2014,CHOCOLATES,11551
10202,1,2014,CHOCOLATES,4883
10202,5,2014,ICECREAM,8239
10202,8,2014,CAKES,22771
10202,11,2014,CHOCOLATES,28843
10202,12,2014,CHOCOLATES,13323
10203,1,2014,CAKES,414
10203,5,2014,CAKES,5606
10203,10,2014,CAKES,33628
10204,6,2014,CAKES,33314
10204,9,2014,ICECREAM,19925
10204,12,2014,CHOCOLATES,34051
10205,3,2014,CHOCOLATES,7786
10205,5,2014,CAKES,1465
10205,6,2014,CHOCOLATES,13742
10206,11,2014,CHOCOLATES,6551
10207,3,2014,CAKES,1296
10207,5,2014,CAKES,6557
10207,7,2014,CAKES,61754
10208,1,2014,ICECREAM,44702
10208,3,2014,CAKES,3140
10208,3,2014,CHOCOLATES,12258
10208,4,2014,CHOCOLATES,19833
10208,6,2014,CAKES,3567
10208,8,2014,CAKES,1301
10208,8,2014,CAKES,9017
10208,9,2014,CAKES,2532
10208,12,2014,CHOCOLATES,21860
10209,6,2014,CHOCOLATES,3484
10210,10,2014,CHOCOLATES,19566
10210,10,2014,CAKES,9446
10210,11,2014,CHOCOLATES,9491
10211,1,2014,CHOCOLATES,14234
10211,7,2014,ICECREAM,35001
10212,2,2014,CAKES,11478
10212,11,2014,CHOCOLATES,1142
10213,8,2014,CHOCOLATES,25289
10213,12,2014,CHOCOLATES,14506
10214,2,2014,CHOCOLATES,4263
10214,5,2014,CAKES,4096
10214,5,2014,CAKES,2122
10214,11,2014,CHOCOLATES,27794
10215,4,2014,CHOCOLATES,16407
10216,4,2014,CHOCOLATES,9286
10216,5,2014,CHOCOLATES,459
10217,2,2014,ICECREAM,42338
10217,6,2014,CHOCOLATES,5500
10217,7,2014,CHOCOLATES,27609
10217,7,2014,CAKES,28172
10217,8,2014,CHOCOLATES,34796
10217,8,2014,CAKES,30182
10217,9,2014,CHOCOLATES,16321
10218,5,2014,CAKES,6300
10218,11,2014,CAKES,1622
10218,12,2014,CHOCOLATES,7259
10219,9,2014,CHOCOLATES,38105
10220,6,2014,ICECREAM,23225
10220,8,2014,ICECREAM,2575
10220,10,2014,CAKES,19782
10220,11,2014,CAKES,25731
10222,2,2014,CAKES,9267
10222,5,2014,ICECREAM,120
10223,2,2014,ICECREAM,696
10223,4,2014,CAKES,45288
10223,7,2014,ICECREAM,52883
10223,10,2014,ICECREAM,1992
10224,1,2014,CHOCOLATES,1286
10224,10,2014,CHOCOLATES,3985
10225,2,2014,CHOCOLATES,14402
10225,4,2014,CAKES,10996
10226,5,2014,CAKES,1819
10226,6,2014,CAKES,21868
10226,11,2014,CHOCOLATES,7088
10227,5,2014,CAKES,5697
10227,5,2014,CAKES,18010
10227,6,2014,CAKES,11855
10227,7,2014,CHOCOLATES,17558
10227,9,2014,CHOCOLATES,3389
10228,1,2014,CHOCOLATES,15903
10228,2,2014,ICECREAM,18148
10228,5,2014,ICECREAM,4172
10228,5,2014,CAKES,11423
10228,8,2014,CAKES,17256
10229,4,2014,ICECREAM,12091
10229,5,2014,CHOCOLATES,6313
10229,10,2014,CAKES,39828
10230,6,2014,CHOCOLATES,9628
10231,6,2014,CHOCOLATES,18554
10231,10,2014,CHOCOLATES,10587
10232,2,2014,ICECREAM,35590
10232,2,2014,CHOCOLATES,54351
10232,8,2014,CAKES,7477
10232,12,2014,CHOCOLATES,4945
10233,3,2014,CHOCOLATES,44175
10233,3,2014,CAKES,362
10233,4,2014,CHOCOLATES,13129
10233,7,2014,CAKES,10841
10233,10,2014,CAKES,3173
10233,12,2014,CHOCOLATES,5949
10233,12,2014,CAKES,44400
10234,3,2014,CAKES,9167
10234,5,2014,CAKES,8440
10234,5,2014,CAKES,16609
10234,6,2014,CHOCOLATES,63628
10234,11,2014,CHOCOLATES,31096
10234,11,2014,CHOCOLATES,26301
10235,3,2014,CHOCOLATES,26794
10235,4,2014,ICECREAM,14710
10236,4,2014,ICECREAM,22090
10236,5,2014,CHOCOLATES,38039
10237,7,2014,CAKES,4382
10239,2,2014,CAKES,33968
10239,3,2014,CHOCOLATES,16547
10241,4,2014,CAKES,8079
10241,8,2014,CHOCOLATES,33044
10241,10,2014,ICECREAM,20544
10241,12,2014,CAKES,32046
10242,2,2014,CAKES,16821
10242,3,2014,ICECREAM,13990
10242,3,2014,CHOCOLATES,16241
10242,3,2014,CHOCOLATES,22575
10242,3,2014,CHOCOLATES,1437
10242,5,2014,ICECREAM,24272
10242,8,2014,CAKES,2404
10242,10,2014,CHOCOLATES,7558
10243,3,2014,CHOCOLATES,14265
10243,4,2014,CHOCOLATES,3449
10243,7,2014,CHOCOLATES,10006
10243,10,2014,CHOCOLATES,49591
10243,11,2014,CAKES,44285
10244,2,2014,ICECREAM,30813
10244,6,2014,CHOCOLATES,2233
10244,11,2014,ICECREAM,5823
10247,1,2014,CAKES,1024
10247,4,2014,ICECREAM,1359
10247,6,2014,CHOCOLATES,9884
10247,11,2014,CHOCOLATES,311
10247,11,2014,CAKES,27626
10247,12,2014,ICECREAM,27907
10248,9,2014,CAKES,36881
10248,11,2014,CHOCOLATES,45477
10249,1,2014,CHOCOLATES,5323
10249,4,2014,CHOCOLATES,5934
10249,4,2014,CHOCOLATES,21203
10249,7,2014,CAKES,26477
10250,3,2014,ICECREAM,55626
10250,6,2014,CHOCOLATES,6881
10251,10,2014,CAKES,60112
10251,10,2014,CHOCOLATES,43337
10251,11,2014,CAKES,30826
10251,12,2014,ICECREAM,61429
10252,10,2014,CAKES,51147
10253,5,2014,CHOCOLATES,2631
10253,6,2014,CHOCOLATES,17590
10253,7,2014,ICECREAM,50659
10253,9,2014,CAKES,507
10253,10,2014,ICECREAM,4316
10253,10,2014,CAKES,66752
10254,9,2014,ICECREAM,12563
10254,9,2014,CHOCOLATES,10762
10254,9,2014,CHOCOLATES,44891
10254,11,2014,CHOCOLATES,26461
10255,5,2014,CAKES,37614
10255,10,2014,CHOCOLATES,7191
10256,1,2014,CAKES,44866
10256,11,2014,CHOCOLATES,8259
10256,12,2014,CHOCOLATES,44950
10257,3,2014,CAKES,8137
10257,8,2014,CAKES,5045
10258,1,2014,CHOCOLATES,15079
10258,2,2014,CHOCOLATES,16412
10258,3,2014,CHOCOLATES,7739
10258,7,2014,ICECREAM,42801
10258,10,2014,ICECREAM,16108
10258,11,2014,CHOCOLATES,17083
10259,1,2014,CAKES,19737
10260,2,2014,CAKES,19203
10260,3,2014,ICECREAM,5016
10260,4,2014,ICECREAM,58146
10260,11,2014,ICECREAM,9675
10260,12,2014,CAKES,12763
10261,12,2014,CAKES,15078
10262,6,2014,CHOCOLATES,1876
10262,11,2014,CHOCOLATES,910
10263,3,2014,CHOCOLATES,28757
10265,2,2014,CAKES,8623
10265,9,2014,CAKES,37445
10266,3,2014,ICECREAM,19486
10266,4,2014,CAKES,3792
10266,5,2014,CHOCOLATES,28555
10266,10,2014,CHOCOLATES,23998
10267,5,2014,CHOCOLATES,7277
10267,6,2014,CAKES,25470
10268,1,2014,CHOCOLATES,18138
10268,3,2014,CAKES,59242
10268,6,2014,CHOCOLATES,4616
10268,9,2014,ICECREAM,7672
10269,2,2014,CHOCOLATES,18499
10269,3,2014,CAKES,27763
10269,3,2014,CAKES,2070
10269,12,2014,CHOCOLATES,56753
10270,3,2014,CAKES,4475
10270,6,2014,CAKES,12008
10270,8,2014,CAKES,54594
10270,10,2014,CAKES,34269
10271,7,2014,CHOCOLATES,32663
10272,3,2014,CAKES,8967
10272,4,2014,CHOCOLATES,8028
